LayerID NodeID NodeID EdgeWeight
4 121 179 1
1 121 180 1
8 121 180 1
3 121 214 1
4 121 214 1
2 123 124 1
2 123 210 1
2 124 332 1
7 125 296 1
8 126 127 1
8 126 130 1
8 132 133 1
8 132 358 1
8 133 344 1
9 134 135 1
9 134 281 1
2 135 206 1
9 135 245 1
7 140 141 1
7 140 296 1
4 147 148 1
4 148 177 1
2 151 152 1
2 152 357 1
6 157 158 1
6 157 298 1
6 158 265 1
4 159 160 1
2 159 299 1
9 160 300 1
3 161 162 1
9 161 200 1
3 161 200 1
4 161 200 1
2 163 164 1
2 163 223 1
2 164 338 1
9 165 166 1
7 165 166 1
9 165 167 1
7 165 167 1
7 166 232 1
9 166 329 1
9 167 253 1
7 167 253 1
8 168 169 1
8 168 186 1
4 170 322 1
5 170 322 1
4 171 172 1
4 171 341 1
4 172 316 1
8 174 175 1
8 176 180 1
8 176 257 1
4 177 247 1
6 180 214 1
1 180 277 1
6 180 343 1
3 181 184 1
5 181 184 1
7 181 184 1
9 181 245 1
8 183 205 1
2 185 210 1
8 186 294 1
8 186 365 1
6 187 188 1
7 187 272 1
6 188 350 1
9 191 293 1
10 192 336 1
4 195 196 1
4 195 316 1
2 198 199 1
2 198 330 1
9 200 273 1
3 200 339 1
4 200 339 1
3 202 203 1
5 202 203 1
3 202 204 1
5 202 204 1
3 204 280 1
5 204 280 1
8 205 206 1
8 206 281 1
2 211 212 1
2 211 303 1
2 212 222 1
9 213 281 1
3 214 349 1
4 214 349 1
4 215 264 1
2 219 282 1
4 221 328 1
2 222 223 1
2 223 299 1
1 224 225 1
1 225 305 1
1 227 229 1
1 229 263 1
7 230 231 1
7 230 232 1
7 230 302 1
7 231 306 1
9 234 235 1
9 234 236 1
9 234 237 1
9 235 237 1
9 236 248 1
9 237 238 1
8 240 241 1
8 241 359 1
7 242 243 1
9 242 243 1
7 242 244 1
9 242 244 1
7 243 253 1
9 243 253 1
2 246 338 1
4 247 362 1
9 248 249 1
9 249 250 1
9 252 273 1
1 258 259 1
1 259 267 1
1 263 304 1
4 264 331 1
1 267 268 1
1 268 292 1
6 271 272 1
6 272 298 1
7 272 306 1
3 274 275 1
5 274 275 1
3 274 276 1
5 274 276 1
3 275 280 1
5 275 280 1
3 276 314 1
5 276 314 1
2 278 279 1
2 278 310 1
2 282 283 1
2 283 286 1
2 283 287 1
2 286 340 1
2 287 330 1
9 293 361 1
7 296 297 1
7 297 307 1
7 302 308 1
2 303 335 1
1 304 305 1
7 307 308 1
9 311 312 1
3 314 315 1
5 314 315 1
10 319 320 1
10 319 351 1
3 320 339 1
4 320 339 1
3 320 349 1
4 320 349 1
4 321 322 1
5 321 322 1
4 328 345 1
9 329 342 1
2 332 340 1
2 334 335 1
2 334 366 1
4 341 368 1
9 342 354 1
8 359 365 1
4 367 368 1
12 2 3 1
12 2 216 1
12 3 224 1
12 3 258 1
12 3 260 1
12 3 338 1
12 10 36 1
12 10 251 1
12 17 18 1
12 17 318 1
12 18 309 1
12 36 337 1
12 40 363 1
12 57 103 1
12 57 333 1
12 62 64 1
12 62 226 1
12 64 284 1
12 82 83 1
12 82 84 1
12 83 193 1
12 84 103 1
12 85 86 1
12 85 87 1
12 86 189 1
12 87 260 1
12 92 93 1
12 92 116 1
12 93 364 1
12 96 97 1
12 96 98 1
12 97 111 1
12 98 208 1
12 100 182 1
12 103 327 1
12 103 355 1
12 111 112 1
12 111 113 1
12 112 149 1
12 113 150 1
12 116 233 1
12 128 129 1
12 128 153 1
12 129 255 1
12 138 139 1
12 138 209 1
12 139 226 1
12 149 220 1
12 150 217 1
12 153 317 1
12 182 266 1
12 189 190 1
12 190 207 1
12 193 194 1
12 194 318 1
12 194 356 1
12 196 254 1
12 196 261 1
12 207 208 1
12 207 209 1
12 215 216 1
12 215 264 1
12 217 218 1
12 218 219 1
12 220 251 1
12 224 225 1
12 225 305 1
12 227 228 1
12 227 229 1
12 228 233 1
12 229 263 1
12 254 255 1
12 258 259 1
12 259 266 1
12 261 338 1
12 263 304 1
12 264 331 1
12 284 285 1
12 285 288 1
12 288 363 1
12 304 305 1
12 317 327 1
12 333 337 1
13 0 1 1
13 0 352 1
13 1 347 1
13 11 12 1
13 11 156 1
13 12 65 1
13 12 290 1
13 12 324 1
13 34 36 1
13 36 289 1
13 36 360 1
13 50 51 1
13 50 325 1
13 51 146 1
13 65 66 1
13 66 106 1
13 74 75 1
13 74 326 1
13 75 156 1
13 102 104 1
13 102 324 1
13 104 239 1
13 106 107 1
13 106 108 1
13 106 347 1
13 107 142 1
13 108 323 1
13 136 137 1
13 136 239 1
13 137 256 1
13 142 143 1
13 143 325 1
13 144 145 1
13 144 256 1
13 145 154 1
13 146 197 1
13 154 155 1
13 155 178 1
13 219 326 1
13 219 352 1
13 219 353 1
13 269 270 1
13 269 291 1
13 289 290 1
13 290 324 1
13 291 323 1
